P_CBPID,P_SAMKEY,P_HHID,P_AUID
677460859,2330001192599,2044917755,2044917755
677458802,2330000606744,175798493,175798493
677458593,2330000705104,2020092293,2020092293
677460534,2330000403179,173659870,173659870
677458252,2330000697770,177979681,177979681
677459749,2330000958934,2023692754,2023692754
677458151,2330000469376,2022669422,176988139
677462568,2330001132493,2039811985,2039811985
677459444,2330000557249,173345718,173345718
677459450,2330000752632,176411379,176411379
677462416,2330000687759,173063164,173063164
677461366,2330001413123,2064576676,2064576676
677460054,2330001173607,2042735521,2042735521
677459285,2330000630004,2008717253,2008717253
677461190,2330000684786,2021867169,2021867169
677467388,2330000515566,174198098,174198098
677463414,2330000696730,176597484,176597484
677463310,2330000638260,173039701,173039701
677462605,2330000959499,2038561258,2038561258
677461097,2330000502014,174127285,174127285
677460313,2330000697830,2035678998,172888521
677458541,2330000511716,173887971,173887971
677460499,2330000739002,177265132,177265132
677459421,2330000156713,174642358,174642358
677462802,2330000516863,176230163,176230163
677458877,2330000009686,2036665785,175184221
677461840,2330000672607,2020500354,2020500354
677460089,2330001233246,2044696888,2044696888
677462489,2330000931733,2008236249,2008236249
677462678,2330000681819,2020157211,2020157211
677458085,2330001073332,2036177537,2036177537
677460566,2330000228332,173151065,173151065
677462803,2330000199056,173938584,173938584
677468790,2330000177347,176255925,176255925
677460314,2330001427042,2066489010,2066489010
677463824,2330001133675,2042832429,2042832429
677463718,2330001077104,2039621267,2039621267
677460226,2330000355269,174514356,174514356
677462360,2330001045793,2021128185,2037809790
677461405,2330000104570,172525509,172525509
677462201,2330000049692,174117795,174117795
677468119,2330001201967,2043025883,2043025883
677461059,2330001362908,2045336040,2045336040
677460970,2330000497986,173635202,173635202
677458596,2330000208635,2019763647,2019763647
677459344,2330000408918,175157012,175157012
677460362,2330001052231,2034373002,2034373002
677460459,2330000290155,177199204,177199204
677462866,2330000125838,176028088,176028088
677459919,2330000926712,2017500472,2017500472
677462531,2330000997413,2020234724,2020234724
677459745,2330000719166,176553601,176553601
677461906,2330000013653,173316501,173316501
677468780,2330000671486,176586944,176586944
677463836,2330001176974,2044852528,2044852528
677459410,2330000240305,172894565,172894565
677458589,2330000696787,176215685,176215685
677463496,2330000671916,178525323,178525323
677459583,2330000009283,174376155,174376155
677457163,2330000018115,176224065,176224065
677458638,2330001002917,2020527969,2020527969
677463684,2330000300574,178916001,178916001
677458550,2330000739447,2009917855,175174659
677459720,2330000487499,175631690,175631690
677466029,2330000072089,2037759907,2037759907
677459052,2330000498703,178275770,178275770
677461879,2330001380270,2064561232,2064561232
677458696,2330001083733,2039511126,2039511126
677462150,2330000431940,173633028,173633028
677466542,2330000501713,174825469,174825469
677459050,2330000926712,2017500472,2017500472
677458731,2330001109738,2039511761,2039511761
677460748,2330000371155,172397120,172397120
677464511,2330000466075,173632882,173632882
677462354,2330000312281,173387443,173387443
677460326,2330000731466,177702062,177702062
677459029,2330001254274,2045546740,2045546740
677460212,2330000322382,177463482,177463482
677462854,2330000237303,173557480,173557480
677459319,2330000766749,176462535,176462535
677466526,2330000771353,2030537174,2030537174
677462212,2330000324624,2010153022,2010153022
677459612,2330000020504,177716209,172966666
677460695,2330000171558,174595869,174595869
677458320,2330000736423,178130629,178130629
677461630,2330000347975,176230876,176230876
677461798,2330000700778,178430589,178430589
677461086,2330000470024,173227897,173227897
677461308,2330000085710,173622612,173622612
677461014,2330000630325,2012918008,2012918008
677460571,2330000305638,174504806,174504806
677460009,2330000497986,173635202,173635202
677460707,2330000736423,178130629,178130629
677459559,2330000240744,174557649,174557649
677463036,2330000760146,2009296134,2009296134
677462788,2330000747196,177044532,177044532
677460615,2330000663801,177336578,177336578
677460560,2330000637481,177783240,177783240
677458665,2330000502014,174127285,174127285
677459175,2330000622007,172397468,172397468
